Original Part,description,Alternative Part,description.1
WDR-00008,SMD  30M      5% 0.125W 0805 500ppm VIS,WYA-00086,SMD  30M      5% 0.125W 0805 300ppm YAG
WP7-00139,SMD  33M      5% 0.125W 0805 300ppm YAG,WS43-00019,SMD  33M      5% 0.125W 0805 100ppm SRT
WVH-00084,SMD  27K      5% 0.063W 0402 100ppm VIS,WVH-00540,verwijderen
WYA-00118,SMD  27M      5% 0.125W 0805 300ppm YAG,WS43-00018,SMD  27M      5% 0.125W 0805 100ppm SRT
XTX-00021,SMDxtal 11.0592MHz  HC49UP 32pF TXC,XC9-00035,SMDxtal 11.0592MHz  LF-L108E CMA
WPA-00019,SMD 160K      1%  0.05W 0201 200ppm PAN,WK2-00003,SMD 160K      1%  0.05W 0201 200ppm KOA
XK7-00001,SMDxtal 13. MHz  3.2x2.5x0.55mm NX3225SA,XEP-00033,SMDxtal 13MHz         TSX-3225     EPS
WPH-01517,SMD   2K2   0.1%  0.25W 1206  50ppm YAG,WVH-00167,SMD   2K21  0.1%   0.1W 1206  25ppm VIS
WVH-00077,Verwijderen,WPH-01512,SMD 150R      1%   0.1W 0603 100ppm YAG
BZZ-00079,Reduce  Wart. PG11/9 2040 026,BJB-00008,Reduce  Wart. PG11/9 2550.011 PAR 7035
CFI-00011,#Jumper     2P    fem red   FIS,CC17-00005,Jumper     2P  fem  R=1e  red        CVI
DMT-00006,#Transorb P6KE47CA         MOT,DSG-00071,Transorb P6KE47CARL         DO-15     ST
HULP-00455,Polyester Tape Adhese Geel,HULP-00004,#Polyester Tape Adhese Geel
IAP-00045,#Ic sock  14P 390261-3   AMP,IAP-00001,SMDpowermod 24V AXB050A0X43-SR
ITI-00232,SMDic SN74HC14DR      SO14  TI,IPH-00025,SMDic 74HC14D         SO14 NEX
KAX-00002,Tant   10uF   16V R=1e     AVX,KSP-00012,Tant   10uF   16V R=1e     VIS
KAX-00094,Cer     100nF 10%  50V R=2e X7R      AVX,KSI-00211,#Cer    100nF 10%  50V R=2e X7R      EPC
KPH-00011,SMD  22pF        5%   50V  C0G 0805 YAG,KSI-00226,SMD  22pF        5%   50V  C0G 0805 EPC
KPH-00135,Elco    220uF 20%  10V R=1e          VIS,KRU-00044,Elco  220uF   10V R=1e ZL  UL.ESR   RUB
KPH-00193,#Elco    470uF 20%  25V R=2e         PHI,KYA-00024,Elco  470uF 20%  25V R=2e     YAG
KPH-00266,SMD  10nF       10%   50V  X7R 0805 YAG,KSI-00194,#SMD  10nF       10%   50V  X7R 0805 EPC
LBJ-00001,#Buzzer TDB-12              BUJ,LS5-00001,#Buzzer TMB-05  piezo      STAR
LO1-00004,#SMDled red LST670-H2J2-1,LO1-00025,#SMDled red LST670-J1K2-1   OSR
TPH-00029,#Trans  BC547B       (bulk) NEX,TOZ-00040,#Trans  BC547B       (tape)  ONS
TSG-00032,Trans  TIP41C               TO-220  SGS,TSG-00063,Trans TIP41CN              SGS
UZZ-00069,Box White cardb. 330x290x130mm,UZZ-00003,Cardb.box 2-wave 330*290*130mm
WBO-00017,SMD 560R      1%  0.25W 1206 100ppm BOU,WPH-01385,SMD 560R      1%  0.25W 1206 100ppm YAG
WBO-00037,SMD  10K      1%  0.25W 1206 100ppm BOU,WDL-14002,SMD  10K      5%  0.25W 1206 200ppm VIS
WBO-00087,SMD 180R      5%  0.25W 1206 100ppm BOU,WPH-00190,SMD 180R      1%  0.25W 1206 100ppm YAG
WBO-00105,SMD   3K9     5%  0.25W 1206 200ppm BOU,WPH-01286,SMD   3K9     5%  0.25W 1206 100ppm YAG
WBO-00112,SMD  15K      5%  0.25W 1206 200ppm BOU,WYA-00036,SMD  15K      1%  0.25W 1206 100ppm YAG
WPH-00886,PR03    10R   5%    3W     PHI,WYA-00005,RES 10R 5% 3W 590-0 PO590-05T10R  YAG
XIQ-00007,X-tal  4.9152MHz  HC49  A127A  IQD,XC9-00026,X-tal 4.915200MHz A127A HC49   IQD
ZLL-00004,Fuseholder pcb PTF45       FER,ZBN-00008,Fuseholder     HTC45M 5x20 BUS
CAP-00156,SubD       9P 2r mle str   AMP,CIT-00010,SubD       9P mle straight   ITT
IAD-00137,SMDic ADM1812-5ART   SOT23  AD,IMX-00193,SMDic DS1812R-5+ SOT-23 MAX
IAP-00030,#Ic sock   8P 0-0345717-1   AM,IC17-00002,Ic sock   8P CS0708D1000   CVI
ICY-00017,#SMDic CY7C109B-20VC  SOJ32 CYP,ICY-00021,#SMDic CY7C109B-15VxC  SOJ32 CYP
IPH-00299,verwijderen,IPH-01057,SMDic 74HCT14D        SO14 NEX
KSI-00213,#SMD   1uF       20%   25V  Z5U 1206 EPC,KSI-00223,#SMD   1uF       10%   25V  X7R 1206 EPC
OE18-00001,SMDopto CNY17-4S SO-6 EVE,OLI-00001,SMDopto CNY17-4S SO-6 LIT
OFD-00003,#SMDopto CNY17-4.3S     SO6 FAI,OE18-00001,SMDopto CNY17-4S SO-6 EVE
SAP-00008,SMDdipswitch  ADE08S04   AMP,SIT-00006,SMDswitch SDA08H1SBD DIP16 C&K
TPH-00109,#SMDtran PZT3904     SOT223 NXP,TOZ-00046,SMDtrans PZT3904T1G         SOT-223  ONS
WM8-00002,SMD  27R      1% 0.063W 0603 200ppm MUL,WP7-00040,SMD  27R      1%   0.1W 0603 100ppm YAG
CPT-00009,1Pinheader  4P    mle str   PTR,CWL-00039,Pinheader  4P    mle str   WIE
KAX-00099,Cer     100nF 10% 100V R=1e X7R      AVX,KSI-00171,#Cer   100nF  100V R=1e 10% EPC
KPH-00208,#Elco    100uF 20%  63V R=2e         VIS,KPH-00190,Elco    100uF 20%  50V R=3.5mm       PHI
KPH-00250,MKT370    1uF 10%  63V R=2e          VIS,KSI-00039,MKT     1uF 10%  63V R=2e     EPC
KSI-00047,#Cer    1uF 10%  50V R=2e            EPC,KMU-00001,Cer     1uF   50V R=2e     MUR
KSI-00213,#SMD   1uF       20%   25V  Z5U 1206 EPC,KSI-00223,#SMD   1uF       10%   25V  X7R 1206 EPC
TPH-00049,#Mosfet BSS100 100N025     NXP,TSI-00004,#Mosfet BSS100  100N025       INF
AP6-00001,ACCU 12V 1.3AH  LOOD PBQ,AP6-00002,ACCU 12V 1.2AH  LOOD PBQ
APA-00001,Batt 3V   35mAh CR1220  Li PAN,AR5-00009,Batt 3V   35mAh CR1220  Li REN
APA-00001,Batt 3V   35mAh CR1220  Li PAN,AS34-00004,Batt   3V  40mAh        CR1220  SONY/MUR
BZZ-00415,Screw Torx  1.6x5.0mm   Bk,BZZ-00893,Screw Torx  1.6x5mm   Bk  Ejot
CMO-00035,Boxheader 20P 2r mle rcht  MOL,CE12-00008,Boxheader 20P 2r mle str   ELP
CPO-00058,PCBClip    4P   MKDS 3/ 4            PHO,CPO-00340,PCBClip    4P   MKDSN 2.5/ 4         PHO
FS50-00001,SMDcoil CDRH5D28-6R2      SUM,FXF-00001,SMDcoil 47uH XFTPRH1205-470M
FXF-00002,SMDcoil 33uH XFTPRH1205-330M,FBO-00011,SMDcoil 33uH SRR1208-330YL BOU
IIE-00032,#SMDic RC28F128J3C120 BGA64 IN,IIE-00036,SMDic RC28F128J3D75
IMX-00126,SMDic MAX1895EGI     QFN28 MAX,IMX-00175,#SMDic MAX1996AETI+         QFN-28   MAX
IS49-00001,SMDic LAN91C111-NS QFP-128  MIC,IS49-00003,SMDic LAN91C111I-NCB QFP128
ISG-00022,#SMDic M24C64-MN6      SO8 SGS,ISG-00226,SMDic M24C64-WMN6TP         SO-8     SGS
ISG-00034,Verwijderen,ISG-00152,SMDic LM358DT      SO8 ST
ITI-00008,SMDic 74HCT32D        SO14  TI,IPH-00112,SMDic 74HCT32D        SO14 NEX
KAX-00132,SMD 820pF       10%   50V  X7R 0603 AVX,KKT-00048,SMD 820pF       10%   50V  X7R 0603 KEM
KAX-00136,SMD  33nF       10%   25V  X7R 0603 AVX,KSM-00001,SMD  33nF       10%   25V  X7R 0603 SAM
KAX-00172,SMD  15pF       10% 3000V  C0G 1812 AVX,KS55-00002,SMD  15pF        5% 3000V  C0G 1812 SYF
KMU-00027,#SMD  10uF  +80/-20%   50V  Y5V 1812 MUR,KMU-00067,SMD  10uF       10%   25V  X5R 1812 MUR
KPH-00585,Verwijderen,KYA-00002,SMD 470nF       10%   16V  X7R 0805 YAG
KSI-00082,#SMDtan   4u7F 10%  35V     CaseC    KEM,KAX-00155,SMDtan   4u7F 10%  35V     CaseC     AVX
KSI-00130,#SMD   1nF       10%   50V  X7R 0603 EPC,KYA-00005,SMD   1nF       10%   50V  X7R 0603 YAG
LWU-00003,Led blue WU-14-750BC       WUS,LWU-00005,LED Blue WU-14-750SBC                WUS
SBO-00002,#SMDswitch STMW-660-NTR     BOU,SAP-00013,SMDswitch FSM6JSMATR 5-1437565-0   TYC
SDJ-00005,Switch DTS-62S              DIP,SDJ-00009,Switch DTS-62N              DIP
UFW-00002,PowerSupply 18VAC 1A  1883554 FRI,UFW-00004,PowerSupply 18VAC 1A  1824756 FRI
WBO-00150,SMD  10R      1% 0.125W 0805 100ppm BOU,WPH-01196,SMD  10R      1% 0.125W 0805 200ppm YAG
WPH-01067,SMD 270R      1% 0.125W 0805 100ppm YAG,WVT-00064,Verwijderen
WVH-00077,Verwijderen,WPH-01512,SMD 150R      1%   0.1W 0603 100ppm YAG
WVH-00120,SMD 100R      1%     1W 1218 100ppm VIS,WPH-01452,SMD 100R      1%     1W 1218 100ppm YAG
WYA-00007,SMD 220R      1%   0.1W 0603 100ppm YAG,WVH-00001,verwijderen
XC9-00012,SMDxtal 24.576MSMD HC-49/4HSMX,XTX-00028,SMDx-tal 24.5760Mhz 49UP 20pF
XC9-00013,SMDxtal 25MHz  HC49/4HSMX  CMA,XGD-00001,SMDx-tal 25.0MHz HC-49UP 16pF
ZLL-00004,Fuseholder pcb PTF45       FER,ZBN-00008,Fuseholder     HTC45M 5x20 BUS
ZWC-00013,Fuseholder WMH862          WIC,ZBN-00012,Fuseholder     BK/HBH-M-R      BUS
ZWC-00014,Cap WMH865 for fuseholder,ZBN-00012,Fuseholder     BK/HBH-M-R      BUS
DPH-00225,SMDdio BZG03C20             SOD-106  PHI,DVH-00045,SMDzen BZG03C20     SOD106 VIS
KPA-00068,Elco 4700uF  100V R=4e     PAN,KNG-00015,Elco 4700uF  100V R=4e     NIC
FAP-00001,SMDcoil 5n6H  5% 0603   TYC,FMU-00052,SMDcoil 5n6H LQW18AN5N6D00D
KAX-00117,SMD  68nF       10%   16V  X7R 0603 AVX,KP7-00045,SMD  68nF       10%   16V  X7R 0603 YAG
KKT-00057,SMD  10nF       10%   16V  X7R 0402 KEM,KVH-00100,SMD  10nF       10%   16V  X7R 0402 VIS
CP3-00006,Socket     1P    fem str   PRE,CW2-00001,Socket     1P    fem str   W&P
DVH-00093,SMDdio 1.5SMC39CA           SMC      VIS,DLF-00002,SMDdio 1.5SMC39CA           SMC      LIT
DVH-00093,SMDdio 1.5SMC39CA           SMC      VIS,DTW-00008,SMDdio 1.5SMC39CA           SMC      TAI
IR3-00001,SMDIc FM18L08-70-SG SO28W  RAM (KLAY),IR3-00006,SMDIc FM28V020-SG SO28W  RAM (KLAY)
IR3-00002,#SMDic FM24CL16-G SO8 RAM,IR3-00011,SMDic FM24CL16B-G           SO-8     CYP
ITI-00402,SMDic INA122U          SO8  TI,IAD-00196,SMDic AD627ARZ          SO8  AD
ITI-00476,SMDic TPS3824-33DBVT SOT-23-5 TI,IMX-00069,SMDic MAX823SEUK+T SOT-23-5 MAX
KAX-00099,Cer     100nF 10% 100V R=1e X7R      AVX,KSI-00171,#Cer   100nF  100V R=1e 10% EPC
KAX-00202,SMD   2n2F      10% 1000V  X7R 1206 AVX,KWN-00001,SMD   2n2F      10% 1000V  X7R 1206 WAL
KSI-00078,#Cer     10nF 10% 100V R=2e          EPC,KKT-00059,Cer    10nF 10% 100V R=2e     KEM
KSI-00082,#SMDtan   4u7F 10%  35V     CaseC    KEM,KKT-00198,SMDtant  4u7F 10%  35V      CaseC    KEM
KSI-00098,#SMD 100pF        5%   50V  C0G 0805 EPC,KPH-00445,SMD 100pF        5%   50V  C0G 0805 YAG
KSI-00122,#SMD 470pF       10%   50V  X7R 0805 EPC,KPH-00508,SMD 470pF       10%   50V  X7R 0805 YAG
KSI-00129,#SMD  10nF       10%   50V  X7R 0603 EPC,KPH-00464,SMD  10nF       10%   50V  X7R 0603 YAG
KSI-00193,#SMD   1nF       10%   50V  X7R 0805 EPC,KYA-00034,SMD   1nF       10%   50V  X7R 0805 YAG
KSI-00194,#SMD  10nF       10%   50V  X7R 0805 EPC,KPH-00266,SMD  10nF       10%   50V  X7R 0805 YAG
KSI-00271,#SMD  10nF       10%  100V  X7R 0805 EPC,KKT-00193,SMD  10nF       10%  100V  X7R 0805 KEM
LSI-00022,#Led Green 3mm 20mcd LG 3360-K       OSR,LO1-00037,#Led Green 3mm LG 3360-KL-1 OSR
WDL-00010,SMD   2K      1% 0.125W 0805 100ppm VIS,WP7-00058,SMD   2K      1% 0.125W 0805 100ppm YAG
WVH-00019,SMD 620R      1% 0.125W 0805 100ppm VIS,WYA-00045,SMD 620R      1% 0.125W 0805 100ppm YAG
XVH-00001,SMDXTAL  XT32PA 32.768KHZ        VIS,XC9-00044,SMDxtal 32.768 KHz  A103S 90SMX IQD
KAX-00129,SMD  10uF  +80/-20%   10V  Y5V 1206 AVX,KKT-00073,SMD  10uF  +80/-20%   10V  Y5V 1206 KEM
UGO-00001,Ringmagnet Neoflux 17x9.2x3mm  GSN-35,UGO-00002,Ringmagnet Neoflux 16x10.6x2mm  GSN-30H
KS64-00001,Elco ERC 10uF  25V  R=1e  SAN,KKT-00074,Tant     10uF 10%  25V R=1e          KEM
KVH-00015,SMD   2n2F       5%  100V  C0G 1206 VIS,KVH-00270,Verwijderen
IS28-00005,SMDic SP3232ECT      SO16W   EXA,IMX-00191,SMDic MAX3232ECWE+  SO16W  MAX
KAX-00125,SMD  22nF   10% 200V  X7R 1206 AVX (PHO),KAX-00214,SMD  22nF       10%  100V  X7R 1206 AVX
KFK-00001,Elco   4m7F   63V R=ax     F&T,KM8-00007,Elco 4700uF   63V R=ax 20% MUL
KRU-00029,Verwijderen,KRD-00242,#Elco  470uF   63V R=2e     VIS
LFD-00007,SMDled Red QTLP630C-2       0805    EVE,LE18-00008,#SMDled Red 17-21/R6C-AN2Q1B/3T 0805 EVE
LO1-00003,Verwijderen,LO1-00014,SMDled green LG R971-KN-1   0805     OSR
IAM-00082,#SMDic  AM29LV800BB-70EC TSOP-48 AMD,IS57-00003,SMDic  S29AL008D70TFI020 TSOP-48 SPA
WPH-00530,SMD 560R      1%   0.1W 0603 100ppm YAG,WVH-00013,verwijderen
CAP-00025,Wafer     14P mle str MTA-100        AMP,CPN-00025,Wafer     14P    mle str   PAN
CAP-00137,Boxheader 64P 2r fem str  A+C,CFM-00146,Boxh 64p 2r fem str A+C DIN41612 FCI
CAP-00284,Lockheader 7P mle hks MTA-100,CPN-00022,Lockhead  7P mle 90ø MLAS100-7
CAP-00587,Header     7p mle 90º MTA-100        AMP,CPN-00022,Lockhead  7P mle 90ø MLAS100-7
CAS-00015,Socket    20P    fem verg  ASS,CAS-00037,Socket    20p AW1282  R=1e           MPE
CEJ-00021,SMDsubD 25p fem 90ø TMC-S  ERN,CEJ-00023,SMDsubD   25P 2r fem 90º R=2.76mm    ERN
CHW-00037,Header 2P  M22-2010205     HAR,CHW-00071,Socket    64p 2r fem str    R=1e     HAR
CHW-00039,#Conn 64P 2R fem str HAR,CHW-00071,Socket    64p 2r fem str    R=1e     HAR
CHW-00040,#Conn 40P 2R fem str HAR,CHW-00072,Socket    40p 2r fem str    R=1e     HAR
CHX-00072,SubD      25P    fem str   HAR,CFM-00140,SubD      25p fem str D25S24A4GV00LF FCI
CHX-00073,SubD       9P    fem str   HAR,CFM-00141,SubD       9p fem str D09S24A4GV00LF FCI
CHX-00074,SubD      37P    fem str   HAR,CFM-00142,SubD      37p fem str D37S24A4GV00LF FCI
CHX-00075,SubD      15P    fem str   HAR,CFM-00143,SubD      15p fem str D15S24A4GV00LF FCI
CHX-00076,SubD      37P    mle str   HAR,CFM-00144,SubD      37p mle str D37P24B4GV00LF FCI
CM8-00009,@SMDconn SD with cover   MUL,CWO-00052,SMDconn SD with cover   WUR
CMI-00001,#Solder eye C-29            MIC,CWH-00001,Soldereye 200-201
CMO-00001,#Boxheader 60P 2r mle 90ø   MOL,CAP-00629,Boxheader 60P 2r mle 90ø   TYC
CMO-00020,SubD       9P    fem 90ø   MOL,CM8-00017,SUBd  9p fem 5504F1-09S-02A-03       MUL
CMO-00074,SubD      25P 2r mle 90ø goud,CMO-00168,#SubD      25P 2r mle 90ø goud    MOL
CPN-00033,Boxheader 96p 3r mle str   PAN,CHX-00039,Boxheader 96p 3r mle str 2.54mm      HAR
CPO-00208,Verwijderen,CPO-00399,PCB Term.Block 1P  FFKDS/V2-5.08     PHO
CPO-00400,Verwijderen,CPO-00209,ConnClip   2P   FFKDSA1/V2-7.62      PHO
CSI-00006,Conn      64P    mle 90ø     AMP,CPN-00031,Boxheader 64P 2r mle 90ø   PAN
CSI-00020,#Boxheader 32P 2r fem str A+C,CHX-00088,Conn      32p 2r            DIN41612 HAR
CSI-00027,Conn      32P    mle 90ø AC   TE,CEJ-00062,#Header    32p mle 90º DIN41612C     ERN
CTB-00082,#Boxheader 96P 3r fem hks DIN41612  TB,CFM-00082,Boxh 96P 3r fem 90ø DIN41612
DFA-00009,#Brugcel FBI5L1-M1          FAG,DS19-00007,#Brugcel B380C5000         SEM
DFA-00010,Brugcel  D6XBA80  6A                 FAG,DFA-00009,#Brugcel FBI5L1-M1          FAG
DFD-00024,#Diode ISL9R460P2    TO-220 FAI,DN4-00054,Diode BYC10D-600    TO-220   WEE
DLI-00012,#BridgeR PBPC1003 SB-10     DIO,DZZ-00070,Bridger  200V 10A BR102             REC
EAS-00009,Heats  V5074C              ASS,EFI-00006,Heats  V5074A (UK14/SA M3) FIS
HULP-00059,Humiseal type 1B31LOC,HULP-00068,Humiseal Type IB31
IA6-00043,Eprom AT27C1024-45PU       ATM,IA6-00069,Eprom AT27C1024-70PI       ATM
IA6-00103,#SMDic AT45DB161D-SU         SO8   ATM,IA6-00145,SMDic AT45DB161E-SHD-T      SO-8     ADE
IAD-00014,Ic PM7543 FP                AD,IAD-00162,Ic AD7543JN                 AD
IBB-00007,Ic ADS7805P A/D convertor   BB,IAD-00199,#Ic AD976ANZ A/D convertor   AD
IBB-00007,Ic ADS7805P A/D convertor   BB,ITI-00524,Ic ADS7805PB A/D convertor   TI
IEU-00012,#Ic socket 44P PLCC         EUR,IEU-00022,Ic socket 44P PLCC         PRE
IIE-00038,#SMDic QE82527     QFP44  INT,IBS-00001,#SMDic CC770E LQFP-44  BOS
IIV-00001,#SMDIC TLE5206-2GP  POWERSO20 INF,IIV-00022,#SMDIC TLE5206-2GP ROHS POWERSO20 INF
IIV-00009,SMDic ITS711L1              SO-20W   INF,IIV-00019,SMDic ITS716G               SO-20W   INF
IIV-00009,SMDic ITS711L1              SO-20W   INF,ISI-00015,SMDic BTS711L1     SO20W  INF
IIV-00019,SMDic ITS716G               SO-20W   INF,ISI-00015,SMDic BTS711L1     SO20W  INF
IMX-00023,Verwijderen,IMX-00189,Ic MAX281BEPA         DIP8 MAX
INE-00002,#Ic UPD71055         DIL40 NEC,III-00019,Ic CP82C55AZ         DIP40    REN
INE-00008,#Ic UPD71059C               NE,IIH-00018,#Ic CP82C59A-12Z            DIP-28   INT
INE-00008,#Ic UPD71059C               NE,INE-00027,#Ic UPD71059C-10            DIP-28   NEC
INE-00027,#Ic UPD71059C-10            DIP-28   NEC,IIH-00018,#Ic CP82C59A-12Z            DIP-28   INT
IOZ-00125,#IC MC33166THG              TO-220-5 ONS,IOZ-00138,#IC MC33167THG              TO-220   ONS
IP3-00010,Ic sock 8P    1108730841001101 PD,IAP-00030,#Ic sock   8P 0-0345717-1   AM
IPY-00002,Ic sock PLCC-084-PBT-T-R   PRO,IAU-00002,#Ic sock  84P PLCC PCS-084A-1  TYC
ISG-00039,Ic LM334Z                   TO-92    SGS,INS-00368,IC LM334Z                   TO-92    TI
ISG-00076,# Ic NE555N timer            SGS,ISG-00519,#Ic TS555CN timer   DIP-8   STM
ISG-00130,Verwijderen,ITI-00006,Ic TL7702ACP                TI
IXL-00006,#Ic XC1736EPD-8C OTP        XIL,IA6-00132,Ic AT17LV65-10PC           DIP-8    ATM
IXL-00008,#Ic XC1765EPD-8C OTP        XIL,IA6-00115,#Ic AT17LV128-10PC           DIP-8   ATM
IXL-00021,#SMDic XC2S50-5PQG208C PQFP-208 XIL,IXL-00083,#SMDic XC2S50-5PQG208I      PQFP-208 XIL
KAX-00002,Tant   10uF   16V R=1e     AVX,KSP-00012,Tant   10uF   16V R=1e     VIS
KAX-00091,Tant   15uF   35V R=2e     AVX,KVH-00003,#Tant   15uF   35V R=2e     VIS
KAX-00140,Tant     22uF 20%  35V  R=2e         AVX,KAX-00301,Tant   22uF   35V  R=2e  10%         AVX
KAX-00235,SMDtan   33uF 10%  35V     CaseD     AVX,KAX-00236,SMDtan   33uF 10%  35V     CaseD     AVX
KFK-00001,Elco   4m7F   63V R=ax     F&T,KM8-00002,verwijderen
KKT-00006,Tant     3u3F   35V R=1e   KEM,KSP-00022,#Tant   3u3F   35V R=1e    SPR
KKT-00066,SMD 100nF        5%   25V  X7R 0603 KEM,KKT-00083,SMD 100nF        5%   50V  X7R 0603 KEM
KNG-00002,#SMDelco 220uF    50V,KNG-00018,SMDelco 220uF 20% 50V 10x10   NIC
KPH-00007,Elco    220uF 20%  16V R=ax          VIS,KVH-00331,Elco    220uF -10/+50%  16V R=AX     VIS
KPH-00019,Cer    15pF  100V R=1e     PHI,KAX-00256,Cer      15pF  5% 100V R=1e NP0      AVX
KPH-00152,#Elco  220uF   63V R=2e tape  VIS,KVH-00140,Elco  220uF   63V R=2e tape   VIS
KPH-00313,#Cer   470pF  100V R=1e     VIS,KVH-00290,CERDISC   470pF 100V R=1e      VIS
KPH-00337,#Cer    22nF   63V R=1e    BCE,KKT-00118,Cer  22nF   100V R=1e     KEM
KRD-00252,Elco  100uF   63V R=ax     ROE,KPH-00587,Elco    100uF 20%  63V R=ax          VIS
KSI-00005,#Cer    100pF  5% 100V R=1e C0G      SIE,KAX-00351,Cer     100pF  5% 100V NP0  R=1e     AVX
KSI-00009,#Cer     220pF  5% 100V R=1e         SIE,KKT-00168,Cer     220pF  5% 100V R=1e         KEM
KSI-00082,#SMDtan   4u7F 10%  35V     CaseC    KEM,KKT-00198,SMDtant  4u7F 10%  35V      CaseC    KEM
KSI-00113,#Cer       1uF 20%  50V R=2e         SIE,KSI-00321,#Cer     1uF   50V  10%  R=2e     EPC
KSI-00129,#SMD  10nF       10%   50V  X7R 0603 EPC,KPH-00464,SMD  10nF       10%   50V  X7R 0603 YAG
KSI-00130,#SMD   1nF       10%   50V  X7R 0603 EPC,KYA-00005,SMD   1nF       10%   50V  X7R 0603 YAG
KSI-00134,#SMD  10pF        5%   50V  C0G 0603 EPC,KPH-00465,SMD  10pF        5%   50V  C0G 0603 YAG
KSI-00162,#Cer      10nF 10% 100V R=1e X7R     EPC,KAX-00095,Cer      10nF 10% 100V R=1e X7R      AVX
KSI-00170,#Cer     220nF 20%  50V R=1e         SIE,KSI-00320,#Cer   220nF   50V R=1e 10% X7R  EPC
KSI-00273,#SMD  12pF        5%   50V  C0G 0603 EPC,KKT-00178,SMD  12pF        5%   50V  C0G 0603 KEM
KSI-00319,#Cap    10uF   50V R=ax  10%     EPC,KIL-00001,CAP      10uF 10%  50V      R=ax     CDE
KSI-00320,#Cer   220nF   50V R=1e 10% X7R  EPC,KKT-00182,Cer     220nF 10%  50V X7R  R=1e     KEM
KSI-00321,#Cer     1uF   50V  10%  R=2e     EPC,KAX-00323,Cer       1uF 10%  50V X7R  R=2e     AVX
KSP-00012,Tant   10uF   16V R=1e     VIS,KAX-00010,Tant     10uF 10%  35V  R=1e         AVX
KSP-00012,Tant   10uF   16V R=1e     VIS,KKT-00101,Tant     10uF 20%  16V R=1e          KEM
KSP-00049,SMDtan  100uF 10%  10V     CaseD     VIS,KSP-00066,SMDtan  100uF 10%  16V     CaseD     VIS
KVH-00038,Verwijderen,KVH-00036,SMD 100nF        5%   50V  X7R 0805 VIS
KVH-00140,Elco  220uF   63V R=2e tape   VIS,KYA-00032,#Elco    220uF 20%  63V      R=2e    YAG
LA29-00039,LED     green  3mm HLMP-1503-D0000   AVA,LA29-00022,Led green      3mm HLMP-1503  AVA
LFD-00001,#SMDled Red QTLP650D-2TR   1206,LE18-00003,SMDled Red 15-21SURC/S530-A2/3T 1206
LFD-00002,#SMDled YL QTLP650D-3TR    1206,LE18-00004,SMDled Yellow 15-21UYC/S530-A2/3T 1206
LFD-00003,#SMDled Green QTLP650D-4TR   1206    FAI,LE18-00005,SMDled Green 15-21SYGC/S530-E1/3T 1206
LIV-00004,#Led Red   3mm LS 3360-HL            OSR,LIV-00006,#Led Red 3mm Super LS 3360-K        OSR
LIV-00006,#Led Red 3mm Super LS 3360-K        OSR,LKI-00016,Led Red 3mm 25mcd L-934ID korte uitloper
LLH-00005,SMDled Royal BLUE LXML-PR01-0350     LUM,LLH-00008,SMDled   Blue LXML-PR02-A900         LUM
LO1-00037,#Led Green 3mm LG 3360-KL-1 OSR,LA29-00039,LED     green  3mm HLMP-1503-D0000   AVA
LSI-00013,#SMDled YL LYS269BO   SOT23 SIE,LSI-00027,#SMDled GL LYS260    SOT23   OSR
LSI-00022,#Led Green 3mm 20mcd LG 3360-K       OSR,LSI-00030,Led Green 3mm 36mcd LG 3360-HL       OSR
LSI-00026,#SMDled RD LSS260    SOT23   OSR,LFD-00001,#SMDled Red QTLP650D-2TR   1206
LSI-00030,Led Green 3mm 36mcd LG 3360-HL       OSR,LO1-00037,#Led Green 3mm LG 3360-KL-1 OSR
OQT-00005,#Opto 6N135                 FAI,OFD-00023,Opto 6N135M                 DIP-8    FAI
OQT-00022,Opto HCPL-2630              DIP-8    AVA,OTO-00034,#Opto TLP2630      TOS
OTO-00030,#Opto TLP741G               DIP-6    TOS,OTO-00041,Opto TLP748J(D4 F)          DIP-6    TOS
SAP-00003,Dipswitch 6H 161390-6      AMP,SDJ-00003,Dipswitch 6P         NDS-06-V DIP
SDJ-00001,Dipswitch 4P               DIP,SZZ-00051,Dipswitch 4P               DIP  (MOBA)
SDJ-00003,Dipswitch 6P         NDS-06-V DIP,SZZ-00052,Dipswitch 6P               DIP  (MOBA)
SSI-00008,#Switch 2p S-02-ANAP-1 C42315-A60-A24 TE,SAP-00022,#Switch MSSA211NG 2p 4-1437580-9   TYC
SZZ-00044,Dipswitch 10P,SDJ-00015,Dipswitch 10P
TP1-00001,#Trans  BD649         TO220   BOU,TOZ-00051,Trans  BDX53CG       TO220    ONS
TPH-00020,#Trans  BC547B       (tape) PHI,TOZ-00040,#Trans  BC547B       (tape)  ONS
TPH-00029,#Trans  BC547B       (bulk) NEX,TOZ-00044,#Trans BC547BG straight lead TO-92   ONS
TSG-00006,#Trans  BC161-16            SGS,TM8-00001,Trans  BC161-16            MUL
ULR-00004,XPORT XP1001001-03R  LAN,ULR-00005,#XPORT XP1001001-04R  LAN
ULR-00005,#XPORT XP1001001-04R  LAN,ULR-00006,XPORT XP1001000-05R  LAN
WBO-00017,SMD 560R      1%  0.25W 1206 100ppm BOU,WPH-01385,SMD 560R      1%  0.25W 1206 100ppm YAG
WBO-00026,SMD   3K3     1%  0.25W 1206 100ppm BOU,WP7-00088,SMD   3K3     1%  0.25W 1206 100ppm YAG
